Time,Velocity,Flow_meters,Flow_liters
0,1.10,33.02,103.42
5,1.08,32.33,102.87
10,1.06,31.80,103.88
15,1.07,31.99,104.15
20,1.07,32.10,242.02
25,1.08,32.47,332.77
30,1.09,32.74,357.8
35,1.12,33.70,373.3
40,1.10,33.01,386.45
45,1.10,33.07,391.95
50,1.18,35.48,393.3
55,1.22,36.64,394.6
60,1.26,37.71,473
65,1.26,37.63,503.68
70,1.26,37.66,505.57
75,1.27,38.06,523.63
80,1.28,38.30,556.2
85,1.29,38.68,555.07
90,1.29,38.56,543.43
95,1.25,37.56,564.37
100,1.28,38.45,568.93
105,1.30,38.84,567
110,1.29,38.70,571.43
115,1.29,38.59,575.87
120,1.30,38.85,580.12
125,1.28,38.35,570.48
130,1.28,38.38,566.7
135,1.28,38.35,568.72
140,1.30,38.96,574.18
145,1.30,38.95,575.28
150,1.24,37.02,572.78
155,1.22,36.44,567.4
160,1.17,35.15,576.87
165,1.11,33.18,553.02
170,1.11,33.32,555.37
175,0.97,29.16,486.03
180,0.78,23.43,390.43
185,0.70,20.88,347.97
190,0.66,19.90,331.65
195,0.66,19.78,329.62
200,0.65,19.60,326.73
205,0.66,19.65,327.55
210,0.67,20.00,333.40
215,0.65,19.58,326.33
220,0.66,19.82,330.40
225,0.67,19.93,332.18
230,0.66,19.75,329.18
235,0.66,19.75,329.10
240,0.65,19.59,326.53
245,0.65,19.60,326.73
250,0.64,19.13,318.78
255,0.65,19.58,326.40
260,0.65,19.51,325.18
265,0.65,19.43,323.88
270,0.64,19.25,320.88
275,0.64,19.05,317.47
280,0.65,19.35,322.50
285,0.65,19.48,324.68
290,0.64,19.27,321.10
295,0.62,18.66,310.98
300,0.64,19.03,317.10
305,0.63,19.02,316.92
310,0.63,18.87,314.42
315,0.63,18.90,314.97
320,0.63,18.90,315.07
325,0.63,18.81,313.45
330,0.63,18.79,313.08
335,0.62,18.69,311.53
