DN;DE;SCH20;SCH30;SCH40S;STD;SCH40;SCH60;SCH80S;XS;SCH80;SCH100;SCH120;SCH140;SCH160;XXS
 1/8;10,3;null;null;1,73;1,73;1,73;null;2,41;2,41;2,41;null;null;null;null;null
 1/4;13,7;null;null;2,24;2,24;2,24;null;3,02;3,02;3,02;null;null;null;null;null
 3/8;17,1;null;null;2,31;2,31;2,31;null;3,20;3,20;3,20;null;null;null;null;null
 1/2;21,3;null;null;2,77;2,77;2,77;null;3,73;3,73;3,73;null;null;null;4,75;7,47
 3/4;26,7;null;null;2,87;2,87;2,87;null;3,91;3,91;3,91;null;null;null;5,54;7,82
1    ;33,4;null;null;3,38;3,38;3,38;null;4,55;4,55;4,55;null;null;null;6,35;9,09
1 1/4;42,2;null;null;3,56;3,56;3,56;null;4,85;4,85;4,85;null;null;null;6,35;9,70
1 1/2;48,3;null;null;3,68;3,68;3,68;null;5,08;5,08;5,08;null;null;null;7,14;10,16
2    ;60,3;null;null;3,91;3,91;3,91;null;5,54;5,54;5,54;null;null;null;8,71;11,07
2 1/2;73,0;null;null;5,16;5,16;5,16;null;7,01;7,01;7,01;null;null;null;9,52;14,02
3    ;88,9;null;null;5,49;5,49;5,49;null;7,62;7,62;7,62;null;null;null;11,13;15,24
3 1/2;101,6;null;null;5,74;5,74;5,74;null;8,08;8,08;8,08;null;null;null;null;16,15
4    ;114,3;null;null;6,02;6,02;6,02;null;8,56;8,56;8,56;null;11,13;null;13,49;17,12
5    ;141,3;null;null;6,56;6,56;6,56;null;9,53;9,53;9,53;null;12,70;null;15,88;19,05
6    ;168,3;null;null;7,11;7,11;7,11;null;10,97;10,97;10,97;null;14,27;null;18,24;21,95
8    ;219,1;6,35;7,04;8,18;8,18;8,18;10,31;12,70;12,70;12,70;15,06;18,26;20,62;23,01;22,22
10    ;273,1;6,35;7,80;9,27;9,27;9,27;12,70;12,70;12,70;15,06;18,26;21,44;25,40;28,58;25,40
12    ;323,9;6,35;8,38;9,52;9,52;10,31;14,27;12,70;12,70;17,48;21,44;25,40;28,58;33,32;25,40
14    ;355,6;7,92;9,52;null;9,52;11,13;15,06;null;12,70;19,05;23,83;27,79;31,75;35,71;null
16    ;406,4;7,92;9,52;null;9,52;12,70;16,66;null;12,70;21,44;26,19;30,96;36,52;40,46;null
18    ;457,2;7,92;11,12;null;9,52;14,27;19,05;null;12,70;23,82;29,36;34,92;39,67;45,24;null
20    ;508,0;9,52;12,70;null;9,52;15,06;20,62;null;12,70;26,19;32,54;38,10;44,45;49,99;null
22    ;558,8;9,52;12,70;null;9,52;15,87;22,22;null;12,70;28,58;34,92;41,28;47,62;53,98;null
24    ;609,6;9,52;14,27;null;9,52;17,48;24,61;null;12,70;30,93;38,89;46,02;52,37;59,51;null
;;;;;;;;;;;;;;;
